text,category
Why can I not access my profile?,account
I want to update my email.,account
My password reset link is not working.,account
How do I unlock my profile?,account
I lost access to my account.,account
My account login keeps failing.,account
Can I change the email associated with my account?,account
I need to recover my password.,account
My account is currently locked.,account
I cannot sign in with my password.,account
How do I edit my account information?,account
I need help getting back into my account.,account
My login details are no longer working.,account
How do I reset my account password?,account
I cannot access my profile anymore.,account
My account credentials are not working.,account
I need to change my personal details.,account
I forgot how to log in.,account
The system will not let me sign in.,account
Can you help me recover my account?I am having trouble accessing my account.,account
The application keeps crashing.,technical
The website will not load.,technical
I keep getting an error.,technical
The dashboard is frozen.,technical
The app stopped working.,technical
The website keeps showing an error.,technical
A feature is not working correctly.,technical
The application crashes when I open it.,technical
The page is stuck loading.,technical
I cannot use the search feature.,technical
The system is responding very slowly.,technical
The app keeps freezing.,technical
The website is broken.,technical
I am seeing an unexpected error.,technical
The dashboard is not loading.,technical
The application stopped responding.,technical
A button on the website does not work.,technical
The system keeps timing out.,technical
The app is not functioning properly.,technical
I cannot use the platform because it keeps crashing.,technical
The website keeps crashing.,technical
The app will not open.,technical
I cannot load the dashboard.,technical
The page keeps freezing.,technical
The system keeps displaying errors.,technical
The application is extremely slow.,technical
The website is stuck on the loading screen.,technical
A feature suddenly stopped working.,technical
The app crashes every time I open it.,technical
The website is not responding.,technical
The system keeps timing out.,technical
The dashboard stopped working.,technical
I cannot get the application to start.,technical
The page is completely frozen.,technical
The website gives me an error message.,technical
The application is not responding.,technical
I am having technical problems with the platform.,technical
The search function is broken.,technical
The website keeps going down.,technical
The app freezes when I try to use it.,technical
The dashboard will not open.,technical
I cannot access a feature on the website.,technical
The application keeps giving me errors.,technical
The website takes forever to load.,technical
Something is wrong with the application.,technical
The system is not working properly.,technical
The page keeps crashing.,technical
I cannot use the dashboard.,technical
The app stopped responding.,technical
The website is malfunctioning.,technical
I keep seeing an error when using the platform.,technical
The application will not respond.,technical
The system has become very slow.,technical
The website does not work on my device.,technical
The app is stuck.,technical
The dashboard keeps freezing.,technical
The platform is showing an unexpected error.,technical
A page will not load correctly.,technical
The application crashes whenever I use it.,technical
I need help with my order.,general_support
Can someone help me with this issue?,general_support
I have a question about my service.,general_support
I need assistance with my request.,general_support
Can you explain how this works?,general_support
I would like to make a request.,general_support
I need help resolving an issue.,general_support
Can someone from support assist me?,general_support
I have a question for customer service.,general_support
I would like more information.,general_support
I am unhappy with the service I received.,general_support
I have contacted support but still need help.,general_support
Can you help me with this problem?,general_support
I need someone to look into this.,general_support
I would like to speak with support.,general_support
I have a problem that needs to be resolved.,general_support
Please help me resolve this issue.,general_support
I am not satisfied with the service.,general_support
I need assistance from customer support.,general_support
Can you help me understand what I should do?,general_support
I need some assistance.,general_support
Can someone help me?,general_support
I have an issue and need support.,general_support
I need to contact customer service.,general_support
Can you help me with my request?,general_support
I have a general question.,general_support
I need help understanding something.,general_support
Please assist me with this problem.,general_support
I would like to contact support.,general_support
Can someone look into this for me?,general_support
I need customer service assistance.,general_support
I have a problem with my service.,general_support
Can you help me figure this out?,general_support
I need someone from support to help me.,general_support
I would like some assistance with this.,general_support
I need help with a problem.,general_support
Can you tell me what I should do?,general_support
I have an issue I need help with.,general_support
Please have someone assist me.,general_support
I need more information about my request.,general_support
Can customer support help me?,general_support
I would like to ask a question.,general_support
I need assistance from someone on your team.,general_support
Can someone explain this to me?,general_support
I am having an issue and need help.,general_support
I need support with this situation.,general_support
Please help me with my request.,general_support
I want to speak to customer service.,general_support
Can you look into my issue?,general_support
I need help resolving this.,general_support
I have a concern I would like addressed.,general_support
Can someone from your team assist me?,general_support
I need clarification about something.,general_support
I am not sure what to do next.,general_support
Could someone help me with this?,general_support
I need assistance from support.,general_support
I have a problem that I need help solving.,general_support
Please tell me how I can get help.,general_support
I would like someone to review my issue.,general_support
